"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test performs a deep audit of the Course Card DOM to ensure all required brand elements are rendered for the end user.","4560","Test Case #11: Verify course cards UI","Surefire suite","Tue Apr 21 12:53:59 UTC 2026","passed","Tue Apr 21 12:54:04 UTC 2026","tests.E2ETest","Surefire test","tests.E2ETest","testCourseCardUIStructure"
"Verifies that clicking the registration link from the Home Page correctly redirects the user to the Signup page with the proper URL and Title.","4092","Test Case #3: Open registration page","Surefire suite","Tue Apr 21 12:50:59 UTC 2026","failed","Tue Apr 21 12:51:03 UTC 2026","tests.AuthTests","Surefire test","tests.AuthTests","testOpenRegistrationPage"
"Verifies that a user can search for a specific course and navigate to its details page via the search dropdown.","6330","Test Case #1: Search with a valid keyword","Surefire suite","Tue Apr 21 12:50:52 UTC 2026","passed","Tue Apr 21 12:50:58 UTC 2026","tests.SearchTests","Surefire test","tests.SearchTests","testSearchAndNavigateToCourse"
"Verifies that the system displays a 'Account not found' error message when entering unregistered or incorrect credentials.","23373","Test Case #5: Login with invalid credentials","Surefire suite","Tue Apr 21 12:51:49 UTC 2026","broken","Tue Apr 21 12:52:12 UTC 2026","tests.LoginTests","Surefire test","tests.LoginTests","testLoginWithInvalidData"
"Verifies visibility and redirection of the YouTube icon. Note: This test is designed to catch the missing link bug.","10020","Test Case #10: Verify YouTube link","Surefire suite","Tue Apr 21 12:51:17 UTC 2026","failed","Tue Apr 21 12:51:28 UTC 2026","tests.SocialMediaTests","Surefire test","tests.SocialMediaTests","testYouTubeLink"
"Verifies that the LinkedIn icon correctly redirects to the official LinkedIn profile.","3799","Test Case #G: Verify LinkedIn link","Surefire suite","Tue Apr 21 12:51:13 UTC 2026","passed","Tue Apr 21 12:51:17 UTC 2026","tests.SocialMediaTests","Surefire test","tests.SocialMediaTests","testLinkedInLink"
"Verifies that mandatory field validations are triggered when both email and password fields are left empty.","3200","Test Case #6: Login with empty fields","Surefire suite","Tue Apr 21 12:51:45 UTC 2026","passed","Tue Apr 21 12:51:48 UTC 2026","tests.LoginTests","Surefire test","tests.LoginTests","testLoginWithEmptyData"
"Verifies the full user journey: logging in with valid credentials, selecting a course from the catalog, subscribing, and confirming the course appears in the shopping cart.","105912","Test Case #7: end-to-end","Surefire suite","Tue Apr 21 12:52:13 UTC 2026","broken","Tue Apr 21 12:53:59 UTC 2026","tests.E2ETest","Surefire test","tests.E2ETest","testCompletePurchaseFlow"
"Ensures the system prevents registration and displays the correct Arabic error message when the username field is left empty.","3656","Test Case #4: Register with an empty username field","Surefire suite","Tue Apr 21 12:51:04 UTC 2026","failed","Tue Apr 21 12:51:07 UTC 2026","tests.AuthTests","Surefire test","tests.AuthTests","testRegisterWithEmptyUsername"
"Verifies that a user can navigate from the 'All Courses' list to a specific course's detail page and see the 'About' section.","15487","Test Case #2: Open course details","Surefire suite","Tue Apr 21 12:51:28 UTC 2026","failed","Tue Apr 21 12:51:44 UTC 2026","tests.CourseTests","Surefire test","tests.CourseTests","testNavigationToCourseDetails"
"Verifies that the Facebook icon correctly redirects to the official Facebook page in a new tab.","4050","Test Case #8: Verify Facebook link","Surefire suite","Tue Apr 21 12:51:08 UTC 2026","passed","Tue Apr 21 12:51:12 UTC 2026","tests.SocialMediaTests","Surefire test","tests.SocialMediaTests","testFacebookLink"
